Formuláø DN,Polo¾ka,Popis,Bli¾¹í definice
,53,AUSTIN,
,54,BARKAS,
,55,DAIHATSU,
,56,DATSUN,
,57,DESTACAR,
,58,ISUZU,
,59,KAROSA,
,60,KIA,
,61,LUBLIN,
,62,MAN,
,63,MASERATI,
,64,MULTICAR,
,65,PONTIAC,
,66,ROSS,
,67,SIMCA,
,68,SSANGYONG,
,69,TALBOT,
,70,TAZ,
,71,ZAZ,
,3,AVIA,autobusy
,10,DAF,
,12,FIAT ,
,13,FORD,
,19,IVECO,
,26,MERCEDES,
,35,RENAULT,
,39,©KODA,
,40,SCANIA,
,48,VOLVO,
,59,KAROSA,
,62,MAN,
,72,BOVA,
,73,IKARUS,
,74,NEOPLAN,
,75,OASA,
,76,RAF,
,77,SETRA,
,78,SOR,
,4,BMW,motocykly
,16,HONDA,
,32,PEUGEOT,
,42,SUZUKI,
,79,APRILIA,
,80,CAGIVA,
,81,ÈZ,
,82,DERBI,
,83,DUCATI,
,84,GILERA,
,85,HARLEY,
,86,HERO,
,87,HUSQVARNA,
,88,JAWA,
,89,KAWASAKI,
,90,KTM,
,91,MALAGUTI,
,92,MANET,
,93,MZ,
,94,PIAGGIO,
,95,SIMSON,
,96,VELOREX,
,97,YAMAHA,
,98,jiné vyrobené v ÈR,
,99,jiné vyrobené mimo ÈR,
,00,¾ádná z uvedených ,v polo¾ce 44 je kód 09 a¾ 18
47,p47,ROK VÝROBY VOZIDLA,
,,uvádí se poslední dvojèíslí roku výroby motorového vozidla,
,,"nelze-li zjistit, vyplòje se ""XX""",
48a,p48a,CHARAKTERISTIKA VOZIDLA ,(vlastník vozidla)
,1,soukromé,nevyu¾ívané k výdìleèné èinnosti
,2,soukromé,vyu¾ívané k výdìleèné èinnosti
,3,soukromá organizace,"(podnikatel, s.r.o., v.o.s., a.s., atd.)"
,4,veøejná hromadná doprava,
,5,mìstská hromadná doprava,
,6,mezinárodní kamionová doprava,
,7,TAXI,
,8,"státní podnik, státní organizace",
,9,registrované mimo území ÈR,
,10,zastupitelský úøad,
,11,ministerstvo vnitra,
,12,policie ÈR,
,13,"mìstská, obecní policie",
,14,soukromé bezpeènostní agentury,
